"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-25",,,"67","H,,S",,,"58",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-26",,,"67","H,,S","83",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-03-27",,,"78","H,,S",,,"61",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-01",,,"79","H,,S","96",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-02",,,"77","H,,S",,,,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-03",,,"81","H,,S","96",",,S","72",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-04",,,"83","H,,S","96",",,S","73",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-05",,,"82","H,,S",,,"71",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-06",,,"78","H,,S","85",",,S","71",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-07",,,"75","H,,S","83",",,S","68",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-08",,,"75","H,,S","87",",,S","65",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-09",,,"76","H,,S",,,"65",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-10",,,"76","H,,S",,,"65",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-11",,,"76","H,,S","86",",,S","67",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-12",,,"78","H,,S","88",",,S","67",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-13",,,"78","H,,S","87",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-14",,,"78","H,,S",,,"69",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-15",,,"79","H,,S","89",",,S","71",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-16",,,"80","H,,S","93",",,S","69",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-17",,,"80","H,,S",,,"67",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-18",,,"84","H,,S","96",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-19",,,"82","H,,S","91",",,S","75",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-20",,,"81","H,,S","91",",,S","71",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-21",,,"82","H,,S","92",",,S","72",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-22",,,"81","H,,S","93",",,S","71",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-23",,,"85","H,,S","101",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-24",,,"87","H,,S","102",",,S","73",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-25",,,"86","H,,S","100",",,S","73",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-26",,,"83","H,,S","93",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-27",,,"80","H,,S","90",",,S","73",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-28",,,"80","H,,S","87",",,S","73",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-29",,,"80","H,,S","88",",,S","72",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-04-30",,,"80","H,,S","87",",,S","72",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-02",,,"83","H,,S","91",",,S","76",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-03",,,"87","H,,S","98",",,S","75",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-04",,,"83","H,,S","91",",,S","74",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-05",,,"85","H,,S","96",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-06",,,"78","H,,S","85",",,S","70",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-07",,,"77","H,,S",,,"68",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-08",,,"78","H,,S","91",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-09",,,"82","H,,S","100",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-10",,,"85","H,,S",,,"67",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-11",,,"84","H,,S","98",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-12",,,"83","H,,S","90",",,S","75",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-13",,,"81","H,,S","89",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-14",,,"77","H,,S","86",",,S","69",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-15",,,"80","H,,S","88",",,S","71",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-16",,,"82","H,,S",,,"71",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-17",,,"85","H,,S","96",",,S","75",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-18",,,"93","H,,S","108",",,S","80",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-19",,,"93","H,,S","100",",,S","82",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-20",,,"95","H,,S","108",",,S","84",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-21",,,"97","H,,S","109",",,S","82",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-22",,,"93","H,,S","103",",,S","84",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-23",,,"94","H,,S","109",",,S","84",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-24",,,"91","H,,S",,,,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-25",,,"85","H,,S","93",",,S","77",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-26",,,"86","H,,S","95",",,S","77",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-27",,,"93","H,,S","103",",,S","79",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-28",,,"88","H,,S","96",",,S","81",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-29",,,"85","H,,S","94",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-30",,,"84","H,,S","93",",,S","74",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-05-31",,,"86","H,,S",,,,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-01",,,"92","H,,S",,,,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-02",,,"91","H,,S","100",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-03",,,"89","H,,S","98",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-04",,,"91","H,,S","102",",,S","79",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-05",,,"93","H,,S","103",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-06",,,"95","H,,S","105",",,S","83",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-07",,,"96","H,,S",,,,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-08",,,"96","H,,S",,,"85",",,S"
